lat,long,commonID,samplingProgram
46.92006,-80.56675,Rawson_1,BsM
46.71781,-79.94034,Red Cedar_1,BsM
45.20439,-78.70184,Red Pine_1,BsM
47.16035,-80.02394,Red Squirrel_1,BsM
51.06421,-93.95704,Red_1,BsM
50.25964,-89.95835,Redhead_1,BsM
45.18369,-78.53568,Redstone_1,BsM
49.42346,-82.17586,Remi_1,BsM
48.98952,-81.77873,Return_1,BsM
47.21484,-79.71615,Rib_1,BsM
47.70129,-82.1231,Rice_1,BsM
44.17348,-78.18609,Rice_2,BsM
49.09563,-90.15218,Ricestalk_1,BsM
50.16956,-92.06356,Richardson_1,BsM
49.18251,-89.43716,Rinker_1,BsM
46.43338,-83.77218,Rock_1,BsM
47.88286,-82.64873,Rollo_1,BsM
47.0495,-82.40792,Rose_1,BsM
45.1741,-79.59755,Rosseau_1,BsM
46.33895,-82.77877,Rossmere_1,BsM
48.01448,-80.0419,Round_1,BsM
45.64074,-77.52889,Round_2,BsM
49.31937,-93.55764,Rowan_1,BsM
49.87008,-90.31323,Rude_1,BsM
49.95675,-92.95825,Rugby_1,BsM
47.79333,-82.19307,Rush_1,BsM
46.73787,-81.91669,Rushbrook_1,BsM
49.07359,-92.20036,Rutter_1,BsM
46.67256,-81.87708,S_1,BsM
46.95281,-83.78813,Saddle_1,BsM
45.19005,-77.81305,Salmon Trout_1,BsM
47.72534,-84.52605,Sand_1,BsM
44.56822,-76.26322,Sand_2,BsM
48.95915,-92.20128,Sandbeach_1,BsM
49.10844,-91.68457,Sandford_1,BsM
50.11625,-89.6922,Sandison_1,BsM
48.23175,-90.24029,Sandstone_1,BsM
50.45836,-90.23117,Sassenach_1,BsM
50.4823,-90.42741,Savant_1,BsM
49.27585,-91.01053,Savoy_1,BsM
49.29686,-92.71694,Scattergood_1,BsM
49.15469,-93.60163,Schistose_1,BsM
49.15786,-91.17121,Scotch_1,BsM
47.07183,-81.37676,Scotia_1,BsM
49.84777,-90.35099,Scruffy_1,BsM
44.18343,-78.85724,Scugog_1,BsM
49.07877,-92.14008,Secret_1,BsM
49.45958,-90.89168,Selwyn_1,BsM
50.06571,-90.35308,Seseganaga_1,BsM
51.31424,-92.93967,Shabu_1,BsM
51.25607,-88.99587,Shabuskwia_1,BsM
49.96674,-85.92055,Shacabac_1,BsM
44.71937,-78.79364,Shadow_1,BsM
54.18624,-85.68382,Shamattawa_1,BsM
44.76738,-76.69336,Sharbot_1,BsM
44.91015,-77.05502,Shawenegog_1,BsM
48.64559,-90.26705,Shebandowans_1,BsM
48.64304,-90.30157,Shebandowans_2,BsM
44.59529,-77.00966,Sheffield Long_1,BsM
49.09008,-85.08496,Shekak_1,BsM
46.58666,-83.59021,Shelden_1,BsM
48.09424,-84.14241,Shikwamkwa_1,BsM
47.76767,-80.64678,Shillington_1,BsM
49.97099,-93.89782,Shrub_1,BsM
51.75362,-93.37461,Silcox_1,BsM
46.77338,-84.24994,Sill_1,BsM
50.41174,-90.35324,Silver_2,BsM
49.87618,-94.17702,Silver_3,BsM
44.08538,-81.41929,Silver_5,BsM
44.68489,-78.79907,Silver_6,BsM
50.16413,-91.26503,Singapore_1,BsM
45.25123,-79.45331,Skeleton_1,BsM
44.8375,-77.24743,Skootamatta_1,BsM
45.85335,-80.2396,Smoky_1,BsM
50.3698,-90.34435,Smye_1,BsM
49.40549,-80.10818,Snare_1,BsM
50.1919,-94.70272,Snook_1,BsM
50.07008,-88.89478,Snowshoe_1,BsM
47.06961,-83.67101,South Branch_1,BsM
45.6684,-79.05924,South Branch_2,BsM
48.45508,-83.88685,South Greenhill_1,BsM
49.93666,-95.05632,South Scot_1,BsM
49.26695,-92.38208,South Wapageisi_1,BsM
44.43422,-76.22132,South_1,BsM
47.5213,-80.55067,Southbear_1,BsM
49.54735,-91.20672,Sowden_1,BsM
49.81424,-90.17712,Sparkling_1,BsM
44.81851,-79.39612,Sparrow_1,BsM
46.67548,-82.38285,Spinweb_1,BsM
50.05944,-86.96565,Springwater_1,BsM
54.33456,-85.01359,Spruce_1,BsM
48.51628,-90.55746,Squeers_1,BsM
47.96541,-79.71119,St. Anthony_1,BsM
44.68701,-79.32512,St. John_1,BsM
50.24067,-91.3921,Stanzhikimi_1,BsM
44.55642,-78.11352,Stony_1,BsM
46.07978,-79.77476,Stormy_1,BsM
48.74758,-84.96384,Strickland_1,BsM
50.18024,-80.87746,Stringer_1,BsM
44.47421,-78.68865,Sturgeon_1,BsM
48.22431,-90.52344,Sunbow_1,BsM
50.30519,-93.55796,Sup_1,BsM
44.43074,-76.55674,Sydenham_1,BsM
49.47038,-93.29066,Tadpole_1,BsM
44.84589,-78.0525,Tallan_1,BsM
44.87588,-79.64948,Tea_1,BsM
46.4795,-82.49876,Teasdale_1,BsM
46.98896,-80.07046,Temagami_1,BsM
50.17463,-92.89251,Thaddeus_1,BsM
48.16447,-91.2036,This Man_1,BsM
